EntryID	OrganismName	Kingdom	SequenceLength	HelixDomain
Q6YN16	Homo sapiens	Metazoa	418	False
Q9NTK1	Homo sapiens	Metazoa	212	False
P50542	Homo sapiens	Metazoa	639	False
P49419	Homo sapiens	Metazoa	539	False
Q9Y3I1	Homo sapiens	Metazoa	522	False
P30044	Homo sapiens	Metazoa	214	False
P07954	Homo sapiens	Metazoa	510	False
P21549	Homo sapiens	Metazoa	392	False
Q15067	Homo sapiens	Metazoa	660	False
Q9BXS1	Homo sapiens	Metazoa	227	False
Q6P587	Homo sapiens	Metazoa	221	False
Q9Y4F3	Homo sapiens	Metazoa	1742	False
P52306	Homo sapiens	Metazoa	607	False
Q8N3J2	Homo sapiens	Metazoa	472	False
Q2T9J0	Homo sapiens	Metazoa	566	False
Q9P0Z9	Homo sapiens	Metazoa	390	False
Q9UMS0	Homo sapiens	Metazoa	254	False
Q8IZ52	Homo sapiens	Metazoa	775	False
P59103	Homo sapiens	Metazoa	153	False
Q504T8	Homo sapiens	Metazoa	468	False
Q8IXP5	Homo sapiens	Metazoa	288	False
Q8WUQ7	Homo sapiens	Metazoa	758	False
Q9BVJ7	Homo sapiens	Metazoa	150	False
Q9C0C6	Homo sapiens	Metazoa	399	False
Q9Y3C4	Homo sapiens	Metazoa	175	False
Q86WA8	Homo sapiens	Metazoa	852	False
P04040	Homo sapiens	Metazoa	527	False
Q9UJM8	Homo sapiens	Metazoa	370	False
O14802	Homo sapiens	Metazoa	1390	False
P20941	Homo sapiens	Metazoa	246	False
Q9H0Z9	Homo sapiens	Metazoa	239	False
Q15311	Homo sapiens	Metazoa	655	False
Q9H777	Homo sapiens	Metazoa	363	False
O14734	Homo sapiens	Metazoa	319	False
Q8IYM2	Homo sapiens	Metazoa	578	False
Q9NXV2	Homo sapiens	Metazoa	234	False
A4D2B0	Homo sapiens	Metazoa	266	False
Q53FT3	Homo sapiens	Metazoa	197	False
Q8IXQ6	Homo sapiens	Metazoa	854	False
Q9H790	Homo sapiens	Metazoa	373	False
Q969V5	Homo sapiens	Metazoa	352	True
O14862	Homo sapiens	Metazoa	343	False
Q9Y2G2	Homo sapiens	Metazoa	537	False
P51530	Homo sapiens	Metazoa	1060	False
Q96BP2	Homo sapiens	Metazoa	118	False
Q13315	Homo sapiens	Metazoa	3056	False
P78549	Homo sapiens	Metazoa	304	False
P49916	Homo sapiens	Metazoa	1009	False
Q8TAE8	Homo sapiens	Metazoa	222	False
Q9GZT3	Homo sapiens	Metazoa	109	False
Q9HD34	Homo sapiens	Metazoa	91	False
Q49B96	Homo sapiens	Metazoa	90	False
Q9NZH6	Homo sapiens	Metazoa	218	False
Q12904	Homo sapiens	Metazoa	312	False
Q9C000	Homo sapiens	Metazoa	1473	False
P54105	Homo sapiens	Metazoa	237	False
P01100	Homo sapiens	Metazoa	380	False
P56192	Homo sapiens	Metazoa	900	False
P62857	Homo sapiens	Metazoa	69	False
Q9FWR4	Arabidopsis thaliana	Viridiplantae	213	False
Q6GPH4	Homo sapiens	Metazoa	301	False
Q3MIT2	Homo sapiens	Metazoa	529	False
P09211	Homo sapiens	Metazoa	210	False
Q96Q11	Homo sapiens	Metazoa	434	False
Q9UHV9	Homo sapiens	Metazoa	154	False
P78527	Homo sapiens	Metazoa	4128	False
Q6PI26	Homo sapiens	Metazoa	577	False
Q86US8	Homo sapiens	Metazoa	1419	False
O15164	Homo sapiens	Metazoa	1050	False
P49789	Homo sapiens	Metazoa	147	False
